,State,Year,Month,Residential_MkWh,Industrial_MkWh,Commercial_MkWh,Value,Anomaly
55,AL,2004,8,3113205.0,3210378.0,2023718.0,62.8,-1.1
56,AL,2004,9,2576824.0,2772217.0,1863929.0,62.9,-1.0
57,AL,2004,10,2068733.0,2800063.0,1814258.0,63.3,-0.6
58,AL,2004,11,1802519.0,2972060.0,1556795.0,63.2,-0.8
59,AL,2004,12,2505093.0,2958884.0,1677911.0,63.3,-0.6
60,AL,2005,1,2860584.0,2946032.0,1596112.0,63.8,-0.1
61,AL,2005,2,2445463.0,2792190.0,1560184.0,64.2,0.3
62,AL,2005,3,2225866.0,3010437.0,1584647.0,63.8,-0.1
63,AL,2005,4,1856527.0,3005621.0,1595433.0,63.8,-0.1
64,AL,2005,5,2027988.0,3151254.0,1782352.0,63.4,-0.5
65,AL,2005,6,2747548.0,3031870.0,1933340.0,63.4,-0.5
66,AL,2005,7,3403792.0,3022185.0,2124567.0,63.5,-0.4
67,AL,2005,8,3440887.0,3137589.0,2176539.0,63.8,-0.1
68,AL,2005,9,3265028.0,3056471.0,2117450.0,64.1,0.2
69,AL,2005,10,2403072.0,3050030.0,1834727.0,63.7,-0.2
70,AL,2005,11,1873000.0,3001916.0,1661038.0,63.5,-0.5
71,AL,2005,12,2765344.0,3073169.0,1641367.0,63.4,-0.5
72,AL,2006,1,2822107.0,2905945.0,1622394.0,63.6,-0.3
73,AL,2006,2,2369346.0,2853682.0,1585605.0,63.1,-0.8
74,AL,2006,3,2250300.0,3033129.0,1586415.0,63.3,-0.6
75,AL,2006,4,2017816.0,2904514.0,1678745.0,63.9,0.0
76,AL,2006,5,2312563.0,3164167.0,1953853.0,64.1,0.2
77,AL,2006,6,3066661.0,3091214.0,1974976.0,64.2,0.3
78,AL,2006,7,3752238.0,3198513.0,2250515.0,64.3,0.4
79,AL,2006,8,3757074.0,3280142.0,2267115.0,64.5,0.6
80,AL,2006,9,3122679.0,3092384.0,2075880.0,64.1,0.2
81,AL,2006,10,2145601.0,3044876.0,1874439.0,64.0,0.1
82,AL,2006,11,2008802.0,2821397.0,1608917.0,63.7,-0.3
83,AL,2006,12,2651896.0,2890717.0,1641079.0,64.2,0.3
84,AL,2007,1,2743367.0,2935692.0,1762599.0,63.8,-0.1
85,AL,2007,2,2906054.0,2733780.0,1627623.0,63.7,-0.2
86,AL,2007,3,2281268.0,2930240.0,1706076.0,64.1,0.2
87,AL,2007,4,1916886.0,2976514.0,1673813.0,63.4,-0.5
88,AL,2007,5,2348667.0,3102569.0,1924666.0,63.5,-0.4
89,AL,2007,6,3034540.0,3038794.0,2086270.0,63.6,-0.3
90,AL,2007,7,3460469.0,3171364.0,2193634.0,63.3,-0.6
91,AL,2007,8,3890218.0,3243325.0,2371700.0,63.5,-0.4
92,AL,2007,9,3361125.0,3074007.0,2169363.0,63.8,-0.1
93,AL,2007,10,2399858.0,3020068.0,1987503.0,64.2,0.3
94,AL,2007,11,1962488.0,2947308.0,1697598.0,64.2,0.2
95,AL,2007,12,2478505.0,2998815.0,1671697.0,64.4,0.5
96,AL,2008,1,3106233.0,3029434.0,1823367.0,64.1,0.2
97,AL,2008,2,2725613.0,2901431.0,1675242.0,64.5,0.6
98,AL,2008,3,2274292.0,3035938.0,1666096.0,64.1,0.2
99,AL,2008,4,1901685.0,3018959.0,1695468.0,64.3,0.4
100,AL,2008,5,2187282.0,3071935.0,1902244.0,64.2,0.3
101,AL,2008,6,3098368.0,3128265.0,2111663.0,64.2,0.3
102,AL,2008,7,3549100.0,3086144.0,2222701.0,64.3,0.4
103,AL,2008,8,3423599.0,3114920.0,2165525.0,63.8,-0.1
104,AL,2008,9,2920797.0,2909303.0,2091856.0,63.7,-0.2
105,AL,2008,10,2115713.0,2789899.0,1840182.0,63.3,-0.6
106,AL,2008,11,2061275.0,2582552.0,1668448.0,63.1,-0.9
107,AL,2008,12,2820582.0,2320838.0,1670328.0,62.9,-1.0
108,AL,2009,1,2983487.0,2368864.0,1801242.0,63.1,-0.8
109,AL,2009,2,2663130.0,2297532.0,1577433.0,63.0,-0.9
110,AL,2009,3,2251154.0,2241766.0,1647183.0,63.2,-0.7
111,AL,2009,4,1851878.0,2261527.0,1671969.0,63.1,-0.8
112,AL,2009,5,2248913.0,2411661.0,1856418.0,63.2,-0.7
113,AL,2009,6,2905742.0,2313058.0,2062592.0,63.2,-0.7
114,AL,2009,7,3619945.0,2709072.0,2108886.0,63.1,-0.8
115,AL,2009,8,3288580.0,2645611.0,2130841.0,63.0,-0.9
116,AL,2009,9,2720755.0,2700606.0,2001292.0,63.1,-0.8
117,AL,2009,10,2124048.0,2547885.0,1725060.0,63.1,-0.8
118,AL,2009,11,2013095.0,2473011.0,1655567.0,63.3,-0.7
119,AL,2009,12,2818685.0,2466120.0,1679995.0,62.9,-1.0
120,AL,2010,1,3749990.0,2495133.0,1841399.0,62.5,-1.4
121,AL,2010,2,3132592.0,2529946.0,1764951.0,61.8,-2.1
122,AL,2010,3,2675013.0,2613113.0,1634981.0,61.3,-2.6
123,AL,2010,4,1902075.0,2666151.0,1671242.0,61.6,-2.3
124,AL,2010,5,2310798.0,2784114.0,1838775.0,61.7,-2.2
125,AL,2010,6,3316666.0,2742610.0,2171643.0,61.9,-2.0
126,AL,2010,7,3848864.0,2915188.0,2268293.0,62.2,-1.7
127,AL,2010,8,3929071.0,2866917.0,2358196.0,62.7,-1.2
128,AL,2010,9,3213725.0,2799350.0,2156116.0,62.8,-1.1
129,AL,2010,10,2145741.0,2715725.0,1771977.0,62.9,-1.0
130,AL,2010,11,2058995.0,2474591.0,1683653.0,63.1,-0.9
131,AL,2010,12,3245762.0,2746748.0,1822541.0,62.7,-1.2
132,AL,2011,1,3515600.0,2805146.0,1826257.0,62.8,-1.1
133,AL,2011,2,2797546.0,2607108.0,1632320.0,63.5,-0.4
134,AL,2011,3,2116851.0,2991208.0,1628284.0,64.1,0.2
135,AL,2011,4,2038147.0,2641327.0,1716396.0,64.2,0.3
136,AL,2011,5,2365770.0,2633251.0,1833307.0,63.9,0.0
137,AL,2011,6,3318465.0,2902381.0,2127926.0,64.0,0.1
138,AL,2011,7,3640453.0,2985114.0,2182147.0,63.9,0.0
139,AL,2011,8,3770514.0,3132140.0,2323469.0,63.8,-0.1
140,AL,2011,9,2760763.0,2875399.0,1998602.0,63.4,-0.5
141,AL,2011,10,2016542.0,2764260.0,1680241.0,63.1,-0.8
142,AL,2011,11,2062237.0,2651233.0,1646528.0,63.1,-0.9
143,AL,2011,12,2599928.0,2746861.0,1661650.0,63.8,-0.1
144,AL,2012,1,2698379.0,2775621.0,1675779.0,64.6,0.7
145,AL,2012,2,2298910.0,2710756.0,1577734.0,64.8,0.9
146,AL,2012,3,2038448.0,2880604.0,1642070.0,65.4,1.5
147,AL,2012,4,1925574.0,2821283.0,1695854.0,65.3,1.4
148,AL,2012,5,2439010.0,2911740.0,1903623.0,65.6,1.7
149,AL,2012,6,2948331.0,2780944.0,1999469.0,65.2,1.3
150,AL,2012,7,3578273.0,2886667.0,2202869.0,65.2,1.3
151,AL,2012,8,3274569.0,2993906.0,2121668.0,64.9,1.0
152,AL,2012,9,2723239.0,2799580.0,1977773.0,65.0,1.1
153,AL,2012,10,2021905.0,2803491.0,1739886.0,65.1,1.2
154,AL,2012,11,2169963.0,2679345.0,1610201.0,64.8,0.8
155,AL,2012,12,2515660.0,2707169.0,1652255.0,64.9,1.0
156,AL,2013,1,2829898.0,2723354.0,1760606.0,64.9,1.0
157,AL,2013,2,2492331.0,2562179.0,1669669.0,64.6,0.7
158,AL,2013,3,2532400.0,2719966.0,1704689.0,63.3,-0.6
159,AL,2013,4,2013734.0,2762984.0,1702449.0,63.1,-0.8
160,AL,2013,5,2138126.0,2878675.0,1856349.0,62.7,-1.2
161,AL,2013,6,2889519.0,2903078.0,2056202.0,62.8,-1.1
162,AL,2013,7,3122787.0,2970096.0,2167617.0,62.4,-1.5
163,AL,2013,8,3182498.0,3061194.0,2206567.0,62.4,-1.5
164,AL,2013,9,2875256.0,2800217.0,2120929.0,62.6,-1.3
165,AL,2013,10,2134782.0,2975121.0,1873557.0,62.8,-1.1
166,AL,2013,11,2223081.0,2823388.0,1697586.0,62.9,-1.1
167,AL,2013,12,2944247.0,2689968.0,1787010.0,62.6,-1.3
168,AL,2014,1,3785797.0,2778203.0,1999474.0,61.5,-2.4
169,AL,2014,2,2984370.0,2621317.0,1716488.0,61.5,-2.4
170,AL,2014,3,2437190.0,2923597.0,1713109.0,61.7,-2.2
171,AL,2014,4,1940812.0,2741712.0,1705872.0,61.7,-2.2
172,AL,2014,5,2213048.0,2953667.0,1873741.0,61.9,-2.0
173,AL,2014,6,2865261.0,2968669.0,2073532.0,61.9,-2.0
174,AL,2014,7,3221728.0,3054809.0,2165657.0,61.9,-2.0
175,AL,2014,8,3323202.0,3039668.0,2252116.0,62.0,-1.9
176,AL,2014,9,2966907.0,2984983.0,2136057.0,62.1,-1.8
177,AL,2014,10,2134635.0,2969394.0,1863636.0,62.1,-1.8
178,AL,2014,11,2378402.0,2677383.0,1703362.0,61.9,-2.1
179,AL,2014,12,2678248.0,2921420.0,1726266.0,62.0,-1.9
180,AL,2015,1,3250397.0,2830206.0,1929037.0,62.6,-1.3
181,AL,2015,2,3096887.0,2560765.0,1776872.0,62.1,-1.8
182,AL,2015,3,2480857.0,2757458.0,1772184.0,62.5,-1.4
183,AL,2015,4,1866597.0,2723137.0,1768828.0,62.8,-1.1
184,AL,2015,5,2239726.0,2831619.0,1938265.0,63.0,-0.9
185,AL,2015,6,2984817.0,2940997.0,2156042.0,63.0,-0.9
186,AL,2015,7,3568237.0,3022865.0,2311882.0,63.3,-0.6
187,AL,2015,8,3412667.0,3028747.0,2307877.0,63.3,-0.6
188,AL,2015,9,2730060.0,2818268.0,2113224.0,63.1,-0.8
189,AL,2015,10,2040510.0,2786306.0,1878547.0,63.1,-0.8
190,AL,2015,11,1962754.0,2581102.0,1730677.0,64.0,0.0
191,AL,2015,12,2275021.0,2617714.0,1754398.0,64.6,0.7
192,AL,2016,1,3082390.0,2740673.0,1865396.0,64.6,0.7
193,AL,2016,2,2640058.0,2596235.0,1731724.0,65.3,1.4
194,AL,2016,3,2087122.0,2600848.0,1748876.0,65.4,1.5
195,AL,2016,4,1846849.0,2613363.0,1734068.0,65.2,1.3
196,AL,2016,5,2201033.0,2786785.0,1916576.0,65.1,1.2
197,AL,2016,6,3001250.0,2858493.0,2154096.0,65.1,1.2
198,AL,2016,7,3647889.0,2818273.0,2357379.0,65.2,1.3
199,AL,2016,8,3568471.0,2887183.0,2409848.0,65.4,1.5
200,AL,2016,9,3172902.0,2663742.0,2266015.0,65.7,1.8
201,AL,2016,10,2266054.0,2670168.0,1934627.0,66.0,2.1
202,AL,2016,11,1962161.0,2610408.0,1742442.0,65.9,1.9
203,AL,2016,12,2579367.0,2688951.0,1773427.0,65.3,1.4
204,AL,2017,1,2665874.0,2748640.0,1785803.0,66.1,2.2
205,AL,2017,2,2039943.0,2519269.0,1589403.0,66.6,2.7
206,AL,2017,3,2107494.0,2776573.0,1734882.0,66.5,2.6
207,AL,2017,4,2025007.0,2707692.0,1770475.0,66.8,2.9
208,AL,2017,5,2241512.0,2832569.0,1906705.0,66.8,2.9
209,AL,2017,6,2699712.0,2821084.0,2034191.0,66.5,2.6
210,AL,2017,7,3394759.0,2913719.0,2254236.0,66.4,2.5
211,AL,2017,8,3252867.0,3019538.0,2277568.0,66.1,2.2
212,AL,2017,9,2640002.0,2718875.0,2020540.0,65.7,1.8
213,AL,2017,10,2276202.0,2769713.0,1898748.0,65.5,1.6
214,AL,2017,11,2072319.0,2701273.0,1709656.0,65.3,1.3
215,AL,2017,12,2765355.0,2787927.0,1761606.0,65.0,1.1
216,AL,2018,1,3755384.0,2797254.0,2018821.0,64.0,0.1
217,AL,2018,2,2350600.0,2584750.0,1651169.0,64.2,0.3
218,AL,2018,3,2120648.0,2880540.0,1712590.0,64.0,0.1
219,AL,2018,4,1910165.0,2700157.0,1666117.0,63.3,-0.6
220,AL,2018,5,2399398.0,2878341.0,1997243.0,63.7,-0.2
221,AL,2018,6,3101898.0,2893895.0,2167147.0,64.0,0.1
222,AL,2018,7,3439698.0,2973438.0,2294786.0,64.0,0.1
223,AL,2018,8,3336538.0,3001477.0,2317671.0,64.1,0.2
224,AL,2018,9,3147040.0,2804737.0,2213778.0,64.6,0.7
225,AL,2018,10,2372492.0,2888750.0,1956072.0,64.7,0.8
226,AL,2018,11,2334693.0,2691925.0,1739714.0,64.3,0.3
227,AL,2018,12,2811827.0,2626830.0,1747967.0,64.5,0.6
228,AL,2019,1,3018694.0,2782388.0,1793529.0,65.0,1.1
229,AL,2019,2,2335975.0,2540033.0,1586960.0,64.8,0.9
230,AL,2019,3,2280296.0,2728723.0,1649328.0,64.8,0.9
231,AL,2019,4,1939345.0,2634352.0,1660843.0,65.1,1.2
232,AL,2019,5,2473582.0,2805154.0,1941592.0,65.1,1.2
233,AL,2019,6,2961171.0,2748581.0,2041144.0,65.0,1.1
234,AL,2019,7,3428620.0,2858663.0,2217548.0,65.0,1.1
235,AL,2019,8,3476496.0,2924145.0,2282247.0,65.1,1.2
236,AL,2019,9,3353850.0,2675258.0,2210629.0,65.1,1.2
237,AL,2019,10,2424218.0,2672917.0,1913283.0,65.2,1.3
238,AL,2019,11,2302020.0,2536561.0,1649473.0,65.2,1.2
239,AL,2019,12,2599906.0,2613134.0,1674175.0,65.4,1.5
240,AL,2020,1,2664000.0,2766000.0,1747000.0,65.6,1.7
241,AL,2020,2,2467000.0,2618000.0,1653000.0,65.2,1.3
242,AL,2020,3,2168000.0,2656000.0,1656000.0,65.9,2.0
243,AL,2020,4,1946000.0,2315000.0,1448000.0,65.8,1.9
244,AL,2020,5,2261000.0,2398000.0,1601000.0,65.3,1.4
245,AL,2020,6,2867000.0,2436000.0,1884000.0,65.2,1.3
246,AL,2020,7,3529000.0,2550000.0,2144000.0,65.3,1.4
247,AL,2020,8,3511000.0,2708000.0,2162000.0,65.2,1.3
248,AL,2020,9,2828000.0,2506000.0,1964000.0,64.7,0.8
249,AL,2020,10,2116000.0,2598000.0,1763000.0,64.7,0.8
250,AL,2020,11,2025000.0,2547000.0,1583000.0,65.3,1.3
251,AL,2020,12,2950000.0,2657000.0,1704000.0,64.9,1.0
252,AL,2021,1,3145566.9,2667198.1,1746672.3,64.6,0.7
253,AL,2021,2,2888982.0,2427472.0,1620249.0,64.3,0.4
254,AL,2021,3,2306302.4,2690310.3,1638280.0,63.9,0.0
255,AL,2021,4,1965684.5,2574507.8,1620831.8,63.9,0.0
256,AL,2021,5,2178495.5,2668107.8,1744093.2,64.0,0.1
257,AL,2021,6,2769622.1,2765440.9,1969136.4,64.0,0.1
258,AL,2021,7,3267545.9,2812303.2,2131491.5,63.8,-0.1
259,AL,2021,8,3397277.2,2885043.8,2231996.2,63.8,-0.1
260,AL,2021,9,2820869.1,2689292.4,2026357.8,63.8,-0.1
261,AL,2021,10,2229731.3,2769648.9,1825057.3,63.8,-0.1
262,AL,2021,11,2229237.2,2618798.9,1635310.4,63.3,-0.7
263,AL,2021,12,2385839.0,2587606.0,1654807.1,64.2,0.3
264,AL,2022,1,3256492.1,2654160.4,1815441.7,64.0,0.1
265,AL,2022,2,2734679.6,2445558.5,1605097.1,64.3,0.4
266,AL,2022,3,2255440.2,2579329.1,1652818.9,64.1,0.2
267,AL,2022,4,1987430.9,2520167.2,1634176.1,64.2,0.3
268,AL,2022,5,2494733.2,2774917.7,1910701.2,64.5,0.6
269,AL,2022,6,3246498.6,2856132.1,2132439.7,64.8,0.9
270,AL,2022,7,3707142.9,2911336.9,2261394.5,65.0,1.1
271,AL,2022,8,3362927.2,2898829.5,2224292.9,64.9,1.0
272,AL,2022,9,2783484.8,2603149.0,2036513.3,64.9,1.0
273,AL,2022,10,2047400.0,2576142.8,1711966.3,64.4,0.5
274,AL,2022,11,2185747.0,2443387.7,1651361.8,64.7,0.7
275,AL,2022,12,2861596.7,2449793.1,1754864.5,64.0,0.1
276,AL,2023,1,2798332.9,2531805.7,1713243.7,64.6,0.7
277,AL,2023,2,2291421.0,2400989.8,1569424.7,65.2,1.3
278,AL,2023,3,2154710.9,2644889.8,1671277.1,65.3,1.4
279,AL,2023,4,1943806.6,2520524.6,1660759.6,65.3,1.4
280,AL,2023,5,2194126.5,2668715.0,1791692.2,65.1,1.2
281,AL,2023,6,2830648.5,2699331.0,2002653.1,64.8,0.9
282,AL,2023,7,3564743.3,2712738.9,2229030.0,64.7,0.8
283,AL,2023,8,3713061.1,2781434.2,2344189.2,64.9,1.0
284,AL,2023,9,3013993.6,2642007.2,2103337.1,65.1,1.2
285,AL,2023,10,2115965.3,2527876.4,1798273.9,65.4,1.5
286,AL,2023,11,2126834.0,2532069.6,1658414.7,65.4,1.4
287,AL,2023,12,2662008.4,2594830.9,1671198.8,65.3,1.4
288,AR,2000,1,1200924.0,1404014.0,639000.0,62.1,0.8
289,AR,2000,2,1145027.0,1287412.0,612601.0,62.0,0.7
290,AR,2000,3,922674.0,1357190.0,604936.0,62.5,1.2
291,AR,2000,4,851599.0,1375541.0,607318.0,62.2,0.9
292,AR,2000,5,900924.0,1429829.0,667994.0,62.4,1.1
293,AR,2000,6,1229807.0,1448962.0,787556.0,62.3,1.0
294,AR,2000,7,1631857.0,1573468.0,887404.0,62.2,0.9
295,AR,2000,8,1831050.0,1527744.0,928517.0,62.4,1.1
296,AR,2000,9,1794887.0,1560956.0,939521.0,62.5,1.2
297,AR,2000,10,1154212.0,1481086.0,765051.0,62.7,1.4
298,AR,2000,11,930343.0,1528771.0,673440.0,61.9,0.6
299,AR,2000,12,1277472.0,1293222.0,633156.0,60.9,-0.4
300,AR,2001,1,1619065.0,1330883.0,794063.0,60.5,-0.8
301,AR,2001,2,1215750.0,1370833.0,617532.0,60.2,-1.1
302,AR,2001,3,1056675.0,1282561.0,638659.0,59.6,-1.7
303,AR,2001,4,954641.0,1309259.0,655184.0,60.1,-1.2
304,AR,2001,5,951217.0,1349419.0,716225.0,60.1,-1.2
305,AR,2001,6,1244362.0,1424656.0,813329.0,60.1,-1.2
306,AR,2001,7,1650883.0,1518989.0,931586.0,60.3,-1.0
307,AR,2001,8,1870759.0,1511870.0,960928.0,60.0,-1.3
308,AR,2001,9,1592311.0,1479914.0,929550.0,59.8,-1.5
309,AR,2001,10,1047761.0,1479211.0,764492.0,59.4,-1.9
310,AR,2001,11,838555.0,1358377.0,659839.0,60.1,-1.2
311,AR,2001,12,1061967.0,1318299.0,672105.0,61.2,-0.1
312,AR,2002,1,1389847.0,1401324.0,654601.0,61.7,0.4
313,AR,2002,2,1190823.0,1458943.0,608582.0,61.4,0.1
314,AR,2002,3,1145271.0,1351279.0,595558.0,61.4,0.1
315,AR,2002,4,994781.0,1313704.0,599790.0,61.3,0.0
316,AR,2002,5,1016088.0,1497418.0,687137.0,61.0,-0.3
317,AR,2002,6,1218769.0,1531228.0,763474.0,61.1,-0.2
318,AR,2002,7,1622298.0,1595474.0,861153.0,61.0,-0.3
319,AR,2002,8,1776155.0,1405248.0,934958.0,60.9,-0.4
320,AR,2002,9,1761894.0,1304051.0,1072743.0,61.3,0.0
321,AR,2002,10,1270944.0,1454748.0,988756.0,61.4,0.1
322,AR,2002,11,960737.0,1297165.0,771300.0,60.8,-0.5
323,AR,2002,12,1179767.0,1276126.0,766331.0,60.6,-0.7
324,AR,2003,1,1444351.0,1323239.0,826605.0,60.1,-1.2
325,AR,2003,2,1390438.0,1331525.0,789875.0,59.9,-1.4
326,AR,2003,3,1234985.0,1321822.0,751573.0,60.2,-1.1
327,AR,2003,4,947082.0,1316533.0,734901.0,60.0,-1.3
328,AR,2003,5,1018678.0,1399907.0,840545.0,60.3,-1.0
329,AR,2003,6,1222455.0,1477320.0,922383.0,60.0,-1.3
330,AR,2003,7,1630870.0,1525019.0,1007026.0,59.9,-1.4
331,AR,2003,8,1813691.0,1454502.0,1070322.0,60.0,-1.3
332,AR,2003,9,1658710.0,1478371.0,1077651.0,59.6,-1.7
333,AR,2003,10,1056094.0,1495340.0,862828.0,59.8,-1.5
334,AR,2003,11,935309.0,1409731.0,804617.0,60.3,-1.0
335,AR,2003,12,1245638.0,1408630.0,879692.0,60.3,-1.0
336,AR,2004,1,1457874.0,1394063.0,801910.0,60.6,-0.7
337,AR,2004,2,1389516.0,1354988.0,774738.0,60.7,-0.6
338,AR,2004,3,1162951.0,1351261.0,773458.0,61.1,-0.2
339,AR,2004,4,948116.0,1416603.0,780840.0,61.0,-0.3
340,AR,2004,5,998221.0,1414788.0,875758.0,61.1,-0.2
341,AR,2004,6,1372358.0,1476575.0,965400.0,61.3,0.0
342,AR,2004,7,1647746.0,1437730.0,1061489.0,61.1,-0.2
343,AR,2004,8,1679962.0,1570651.0,1052964.0,60.7,-0.6
344,AR,2004,9,1532765.0,1542171.0,1057125.0,60.9,-0.4
345,AR,2004,10,1224553.0,1532176.0,952853.0,61.1,-0.2
346,AR,2004,11,1006537.0,1433137.0,843391.0,61.1,-0.2
347,AR,2004,12,1198799.0,1397852.0,791040.0,61.0,-0.3
348,AR,2005,1,1520696.0,1396473.0,845863.0,61.3,0.0
349,AR,2005,2,1345013.0,1364487.0,801849.0,61.9,0.6
350,AR,2005,3,1173102.0,1372931.0,791097.0,61.5,0.2
351,AR,2005,4,1028107.0,1399832.0,788540.0,61.5,0.2
352,AR,2005,5,1013751.0,1458148.0,885742.0,61.2,-0.1
353,AR,2005,6,1448309.0,1485820.0,1022483.0,61.3,0.0
354,AR,2005,7,1875711.0,1580950.0,1137177.0,61.5,0.2
355,AR,2005,8,1976422.0,1603783.0,1165717.0,62.1,0.8
356,AR,2005,9,1906015.0,1562515.0,1169292.0,62.4,1.1
357,AR,2005,10,1443501.0,1524344.0,1037595.0,62.1,0.8
358,AR,2005,11,1045646.0,1513148.0,875691.0,62.1,0.8
359,AR,2005,12,1357420.0,1402400.0,845350.0,62.0,0.7
360,AR,2006,1,1522772.0,1440705.0,871275.0,62.2,0.9
361,AR,2006,2,1319334.0,1395200.0,813606.0,61.6,0.3
362,AR,2006,3,1279352.0,1427710.0,833010.0,61.9,0.6
363,AR,2006,4,1093144.0,1428942.0,848635.0,62.4,1.1
364,AR,2006,5,1104762.0,1532419.0,943723.0,62.6,1.3
365,AR,2006,6,1496548.0,1550506.0,1055556.0,62.5,1.2
366,AR,2006,7,1840243.0,1618058.0,1159933.0,62.5,1.2
367,AR,2006,8,2085770.0,1682573.0,1229542.0,62.5,1.2
368,AR,2006,9,1701802.0,1578358.0,1114927.0,61.9,0.6
369,AR,2006,10,1179629.0,1519169.0,980331.0,61.8,0.5
370,AR,2006,11,1092322.0,1414191.0,872851.0,61.6,0.3
371,AR,2006,12,1349403.0,1402178.0,857145.0,62.0,0.7
372,AR,2007,1,1546740.0,1407467.0,887028.0,61.4,0.1
373,AR,2007,2,1645094.0,1362281.0,856706.0,61.4,0.1
374,AR,2007,3,1297661.0,1402643.0,859945.0,61.9,0.6
375,AR,2007,4,1027175.0,1423827.0,860105.0,61.1,-0.2
376,AR,2007,5,1100689.0,1442831.0,907216.0,61.2,-0.1
377,AR,2007,6,1421634.0,1533059.0,1059898.0,61.3,0.0
378,AR,2007,7,1737692.0,1579807.0,1133320.0,61.0,-0.3
379,AR,2007,8,1981100.0,1644618.0,1212669.0,61.1,-0.2
380,AR,2007,9,1867356.0,1576039.0,1183514.0,61.5,0.2
381,AR,2007,10,1348074.0,1558096.0,1047939.0,61.8,0.5
382,AR,2007,11,1086809.0,1484338.0,913140.0,61.9,0.6
